key_id,global_type_ids,z,formal_charge,aromatic,hybridization,degree,total_hs,in_ring,ring_count,neighbor_sig,bond_kinds,charge_mean,sigma_mean,epsilon_mean,mass_mean,hop1_shell,hop2_shell
1,segment2_25;segment4_52,1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]",0.1126,2.5,0.03,1.008,"[{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":0,""ring"":1,""z"":6}]"
2,segment2_9,1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]",0.0979,2.5,0.03,1.008,"[{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":0,""ring"":1,""z"":6}]"
3,segment4_37,1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]",0.1272,2.5,0.03,1.008,"[{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":0,""ring"":1,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":0,""ring"":1,""z"":7}]"
4,segment4_26;segment4_27;segment4_28;segment4_29,1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]",0.14515,2.5,0.03,1.008,"[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":3,""fc"":0,""h"":0,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]"
5,segment1_7;segment1_8;segment1_10;segment1_11,1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]",0.13805,2.5,0.03,1.008,"[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":3,""fc"":0,""h"":1,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]"
6,segment2_22;segment2_23,1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]",0.1103,2.5,0.03,1.008,"[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6}]"
7,segment2_6;segment2_7;segment4_38;segment4_71,1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]",0.11155,2.5,0.03,1.008,"[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6}]"
8,segment4_61;segment4_62,1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]",0.0911,2.5,0.03,1.008,"[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]"
9,segment1_69;segment1_70,1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]",0.0921,2.5,0.03,1.008,"[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":0,""z"":14}]"
10,segment1_19;segment1_20;segment1_66;segment1_67,1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]",0.1075,2.5,0.03,1.008,"[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":1,""z"":14}]"
11,segment4_32;segment4_33,1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]",0.1194,2.5,0.03,1.008,"[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]"
12,segment4_34;segment4_35;segment4_63;segment4_64,1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]",0.10605,2.5,0.03,1.008,"[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":0,""ring"":1,""z"":6}]"
13,segment1_16;segment1_17;segment4_30;segment4_31,1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]",0.09955,2.5,0.03,1.008,"[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":0,""z"":8}]"
14,segment2_42;segment2_43;segment4_25;segment4_58,1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]",0.1012,2.5,0.03,1.008,"[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":0,""z"":8}]"
15,segment1_74;segment1_75;segment1_76;segment1_77;segment1_78;segment1_79;segment1_84;segment1_85;segment1_86;segment1_87;segment1_88;segment1_89;segment1_94;segment1_95;segment1_96;segment1_97;segment1_98;segment1_99;segment1_100;segment1_101;segment1_102;segment3_7;segment3_8;segment3_9;segment3_10;segment3_11;segment3_12;segment3_17;segment3_18;segment3_19;segment3_20;segment3_21;segment3_22;segment3_27;segment3_28;segment3_29;segment3_30;segment3_31;segment3_32;segment3_37;segment3_38;segment3_39;segment3_40;segment3_41;segment3_42;segment3_47;segment3_48;segment3_49;segment3_50;segment3_51;segment3_52;segment3_57;segment3_58;segment3_59;segment3_60;segment3_61;segment3_62;segment3_63;segment3_64;segment3_65,1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]",0.0978,2.5,0.03,1.008,"[{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":0,""z"":14}]"
16,segment1_38;segment1_39;segment1_40;segment1_42;segment1_43;segment1_44;segment1_45;segment1_46;segment1_47;segment1_55;segment1_56;segment1_57;segment1_58;segment1_59;segment1_60;segment1_61;segment1_62;segment1_63,1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]",0.09965,2.5,0.03,1.008,"[{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":1,""z"":14}]"
17,segment2_49;segment2_50;segment2_51;segment2_52;segment2_53;segment2_54,1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]",-0.002383,2.5,0.03,1.008,"[{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":0,""z"":6}]"
18,segment2_2;segment2_3;segment2_55,1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]",0.125333,2.5,0.03,1.008,"[{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6}]"
19,segment2_44;segment2_45;segment2_46;segment4_78;segment4_79;segment4_80,1,0,0,S,1,0,0,0,"[""6:S:0""]","[""S""]",0.10185,2.5,0.03,1.008,"[{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]"
20,segment2_13;segment2_15;segment2_29;segment2_31;segment4_39;segment4_43;segment4_53;segment4_57;segment4_72;segment4_76,1,0,0,S,1,0,0,0,"[""6:S:1""]","[""S""]",0.15255,2.42,0.03,1.008,"[{""ar"":1,""deg"":3,""fc"":0,""h"":1,""ring"":1,""z"":6}]","[{""ar"":1,""deg"":3,""fc"":0,""h"":0,""ring"":1,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":1,""ring"":1,""z"":6}]"
