interaction_kind,key_type_tuple,coeff_param_sets
bond,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[36,37,38]]","[[""340.0000"",""1.0900""]]"
bond,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[39]]","[[""340.0000"",""1.0900""]]"
bond,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[40,41,42]]","[[""340.0000"",""1.0900""]]"
bond,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50]]","[[""340.0000"",""1.0900""]]"
bond,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[51,52]]","[[""340.0000"",""1.0900""]]"
bond,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[53,54,55]]","[[""340.0000"",""1.0900""]]"
bond,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[56,57,58,59,60]]","[[""340.0000"",""1.0900""]]"
bond,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[61,62,63]]","[[""340.0000"",""1.0900""]]"
bond,"[[20,21,22],[69,70,71,72]]","[[""367.0000"",""1.0800""]]"
bond,"[[20,21,22],[73]]","[[""367.0000"",""1.0800""]]"
bond,"[[23,24],[91]]","[[""553.0000"",""0.9450""]]"
bond,"[[23,24],[92]]","[[""553.0000"",""0.9450""]]"
bond,"[[25,26],[40,41,42]]","[[""187.0000"",""1.8600""]]"
bond,"[[25,26],[56,57,58,59,60]]","[[""187.0000"",""1.8600""]]"
bond,"[[25,26],[84,85,86,87]]","[[""374.0000"",""1.6400""]]"
bond,"[[27,28],[56,57,58,59,60]]","[[""187.0000"",""1.8600""]]"
bond,"[[27,28],[84,85,86,87]]","[[""374.0000"",""1.6400""]]"
bond,"[[27,28],[91]]","[[""374.0000"",""1.6400""]]"
bond,"[[29,30],[40,41,42]]","[[""187.0000"",""1.8600""]]"
bond,"[[29,30],[56,57,58,59,60]]","[[""187.0000"",""1.8600""]]"
bond,"[[29,30],[89,90]]","[[""374.0000"",""1.6400""]]"
bond,"[[31,32],[35]]","[[""317.0000"",""1.5220""]]"
bond,"[[31,32],[43,44,45,46,47,48,49,50]]","[[""317.0000"",""1.5220""]]"
bond,"[[31,32],[77,78]]","[[""570.0000"",""1.2290""]]"
bond,"[[31,32],[79,80,81]]","[[""214.0000"",""1.3270""]]"
bond,"[[33,34],[43,44,45,46,47,48,49,50]]","[[""317.0000"",""1.5220""]]"
bond,"[[33,34],[82,83]]","[[""570.0000"",""1.2290""]]"
bond,"[[33,34],[88]]","[[""214.0000"",""1.3270""]]"
bond,"[[33,34],[92]]","[[""450.0000"",""1.3640""]]"
bond,"[[35],[43,44,45,46,47,48,49,50]]","[[""268.0000"",""1.5290""]]"
bond,"[[35],[61,62,63]]","[[""268.0000"",""1.5290""]]"
bond,"[[36,37,38],[43,44,45,46,47,48,49,50]]","[[""268.0000"",""1.5290""]]"
bond,"[[36,37,38],[61,62,63]]","[[""268.0000"",""1.5290""]]"
bond,"[[36,37,38],[64,65,66,67]]","[[""317.0000"",""1.5100""]]"
bond,"[[39],[43,44,45,46,47,48,49,50]]","[[""268.0000"",""1.5290""]]"
bond,"[[39],[64,65,66,67]]","[[""317.0000"",""1.5100""]]"
bond,"[[39],[76]]","[[""337.0000"",""1.4750""]]"
bond,"[[40,41,42],[40,41,42]]","[[""268.0000"",""1.5290""]]"
bond,"[[40,41,42],[53,54,55]]","[[""268.0000"",""1.5290""]]"
bond,"[[43,44,45,46,47,48,49,50],[43,44,45,46,47,48,49,50]]","[[""268.0000"",""1.5290""]]"
bond,"[[43,44,45,46,47,48,49,50],[51,52]]","[[""268.0000"",""1.5290""]]"
bond,"[[43,44,45,46,47,48,49,50],[53,54,55]]","[[""268.0000"",""1.5290""]]"
bond,"[[51,52],[64,65,66,67]]","[[""317.0000"",""1.5100""]]"
bond,"[[51,52],[68]]","[[""317.0000"",""1.5040""]]"
bond,"[[53,54,55],[61,62,63]]","[[""268.0000"",""1.5290""]]"
bond,"[[53,54,55],[79,80,81]]","[[""320.0000"",""1.4100""]]"
bond,"[[53,54,55],[88]]","[[""320.0000"",""1.4100""]]"
bond,"[[64,65,66,67],[69,70,71,72]]","[[""469.0000"",""1.4000""]]"
bond,"[[68],[73]]","[[""520.0000"",""1.3700""]]"
bond,"[[68],[74]]","[[""410.0000"",""1.3940""]]"
bond,"[[69,70,71,72],[69,70,71,72]]","[[""469.0000"",""1.4000""]]"
bond,"[[73],[76]]","[[""427.0000"",""1.3810""]]"
bond,"[[74],[75]]","[[""400.0000"",""1.2800""]]"
bond,"[[75],[76]]","[[""400.0000"",""1.3490""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[36,37,38],[43,44,45,46,47,48,49,50]]","[[""37.500"",""110.700""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[36,37,38],[61,62,63]]","[[""37.500"",""110.700""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[36,37,38],[64,65,66,67]]","[[""35.000"",""109.500""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[39],[43,44,45,46,47,48,49,50]]","[[""37.500"",""110.700""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[39],[64,65,66,67]]","[[""35.000"",""109.500""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[39],[76]]","[[""35.000"",""109.500""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[40,41,42],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]]","[[""33.000"",""107.800""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[40,41,42],[25,26]]","[[""35.000"",""109.500""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[40,41,42],[29,30]]","[[""35.000"",""109.500""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[40,41,42],[40,41,42]]","[[""37.500"",""110.700""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[40,41,42],[53,54,55]]","[[""37.500"",""110.700""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]]","[[""33.000"",""107.800""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[31,32]]","[[""35.000"",""109.500""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[33,34]]","[[""35.000"",""109.500""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[35]]","[[""37.500"",""110.700""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[36,37,38]]","[[""37.500"",""110.700""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[39]]","[[""37.500"",""110.700""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[43,44,45,46,47,48,49,50]]","[[""37.500"",""110.700""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[51,52]]","[[""37.500"",""110.700""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[43,44,45,46,47,48,49,50],[53,54,55]]","[[""37.500"",""110.700""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[51,52],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]]","[[""33.000"",""107.800""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[51,52],[43,44,45,46,47,48,49,50]]","[[""37.500"",""110.700""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[51,52],[64,65,66,67]]","[[""35.000"",""109.500""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[51,52],[68]]","[[""35.000"",""109.500""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[53,54,55],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]]","[[""33.000"",""107.800""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[53,54,55],[40,41,42]]","[[""37.500"",""110.700""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[53,54,55],[43,44,45,46,47,48,49,50]]","[[""37.500"",""110.700""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[53,54,55],[61,62,63]]","[[""37.500"",""110.700""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[53,54,55],[79,80,81]]","[[""35.000"",""109.500""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[53,54,55],[88]]","[[""35.000"",""109.500""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[56,57,58,59,60],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]]","[[""33.000"",""107.800""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[56,57,58,59,60],[25,26]]","[[""35.000"",""109.500""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[56,57,58,59,60],[27,28]]","[[""35.000"",""109.500""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[56,57,58,59,60],[29,30]]","[[""35.000"",""109.500""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[61,62,63],[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]]","[[""33.000"",""107.800""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[61,62,63],[35]]","[[""37.500"",""110.700""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[61,62,63],[36,37,38]]","[[""37.500"",""110.700""]]"
angle,"[[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19],[61,62,63],[53,54,55]]","[[""37.500"",""110.700""]]"
angle,"[[20,21,22],[69,70,71,72],[64,65,66,67]]","[[""35.000"",""120.000""]]"
angle,"[[20,21,22],[69,70,71,72],[69,70,71,72]]","[[""35.000"",""120.000""]]"
angle,"[[20,21,22],[73],[68]]","[[""35.000"",""130.700""]]"
