interaction_kind,n_atoms,lmp_type_tuple,term_count,source_term_types,coeff_param_sets
bond,2,"[57,54]",1,[56],"[[""340.0000"",""1.0900""]]"
bond,2,"[58,54]",1,[57],"[[""340.0000"",""1.0900""]]"
bond,2,"[59,54]",1,[58],"[[""340.0000"",""1.0900""]]"
bond,2,"[60,55]",1,[59],"[[""340.0000"",""1.0900""]]"
bond,2,"[61,55]",1,[60],"[[""340.0000"",""1.0900""]]"
bond,2,"[62,55]",1,[61],"[[""340.0000"",""1.0900""]]"
bond,2,"[63,56]",1,[62],"[[""340.0000"",""1.0900""]]"
bond,2,"[64,56]",1,[63],"[[""340.0000"",""1.0900""]]"
bond,2,"[65,56]",1,[64],"[[""340.0000"",""1.0900""]]"
bond,2,"[17,14]",1,[16],"[[""340.0000"",""1.0900""]]"
bond,2,"[18,14]",1,[17],"[[""340.0000"",""1.0900""]]"
bond,2,"[19,14]",1,[18],"[[""340.0000"",""1.0900""]]"
bond,2,"[20,15]",1,[19],"[[""340.0000"",""1.0900""]]"
bond,2,"[21,15]",1,[20],"[[""340.0000"",""1.0900""]]"
bond,2,"[22,15]",1,[21],"[[""340.0000"",""1.0900""]]"
bond,2,"[27,24]",1,[26],"[[""340.0000"",""1.0900""]]"
bond,2,"[28,24]",1,[27],"[[""340.0000"",""1.0900""]]"
bond,2,"[29,24]",1,[28],"[[""340.0000"",""1.0900""]]"
bond,2,"[30,25]",1,[29],"[[""340.0000"",""1.0900""]]"
bond,2,"[31,25]",1,[30],"[[""340.0000"",""1.0900""]]"
bond,2,"[32,25]",1,[31],"[[""340.0000"",""1.0900""]]"
bond,2,"[37,34]",1,[36],"[[""340.0000"",""1.0900""]]"
bond,2,"[38,34]",1,[37],"[[""340.0000"",""1.0900""]]"
bond,2,"[39,34]",1,[38],"[[""340.0000"",""1.0900""]]"
bond,2,"[40,35]",1,[39],"[[""340.0000"",""1.0900""]]"
bond,2,"[41,35]",1,[40],"[[""340.0000"",""1.0900""]]"
bond,2,"[42,35]",1,[41],"[[""340.0000"",""1.0900""]]"
bond,2,"[47,44]",1,[46],"[[""340.0000"",""1.0900""]]"
bond,2,"[48,44]",1,[47],"[[""340.0000"",""1.0900""]]"
bond,2,"[49,44]",1,[48],"[[""340.0000"",""1.0900""]]"
bond,2,"[50,45]",1,[49],"[[""340.0000"",""1.0900""]]"
bond,2,"[51,45]",1,[50],"[[""340.0000"",""1.0900""]]"
bond,2,"[52,45]",1,[51],"[[""340.0000"",""1.0900""]]"
bond,2,"[7,4]",1,[6],"[[""340.0000"",""1.0900""]]"
bond,2,"[8,4]",1,[7],"[[""340.0000"",""1.0900""]]"
bond,2,"[9,4]",1,[8],"[[""340.0000"",""1.0900""]]"
bond,2,"[10,5]",1,[9],"[[""340.0000"",""1.0900""]]"
bond,2,"[11,5]",1,[10],"[[""340.0000"",""1.0900""]]"
bond,2,"[12,5]",1,[11],"[[""340.0000"",""1.0900""]]"
bond,2,"[1,2]",1,[1],"[[""553.0000"",""0.9450""]]"
bond,2,"[53,54]",1,[53],"[[""187.0000"",""1.8600""]]"
bond,2,"[53,55]",1,[54],"[[""187.0000"",""1.8600""]]"
bond,2,"[53,56]",1,[55],"[[""187.0000"",""1.8600""]]"
bond,2,"[53,46]",1,[52],"[[""374.0000"",""1.6400""]]"
bond,2,"[13,14]",1,[13],"[[""187.0000"",""1.8600""]]"
bond,2,"[13,15]",1,[14],"[[""187.0000"",""1.8600""]]"
bond,2,"[23,24]",1,[23],"[[""187.0000"",""1.8600""]]"
bond,2,"[23,25]",1,[24],"[[""187.0000"",""1.8600""]]"
bond,2,"[33,34]",1,[33],"[[""187.0000"",""1.8600""]]"
bond,2,"[33,35]",1,[34],"[[""187.0000"",""1.8600""]]"
bond,2,"[43,44]",1,[43],"[[""187.0000"",""1.8600""]]"
bond,2,"[43,45]",1,[44],"[[""187.0000"",""1.8600""]]"
bond,2,"[43,46]",1,[45],"[[""374.0000"",""1.6400""]]"
bond,2,"[13,16]",1,[15],"[[""374.0000"",""1.6400""]]"
bond,2,"[23,16]",1,[22],"[[""374.0000"",""1.6400""]]"
bond,2,"[23,26]",1,[25],"[[""374.0000"",""1.6400""]]"
bond,2,"[33,26]",1,[32],"[[""374.0000"",""1.6400""]]"
bond,2,"[33,36]",1,[35],"[[""374.0000"",""1.6400""]]"
bond,2,"[43,36]",1,[42],"[[""374.0000"",""1.6400""]]"
bond,2,"[13,6]",1,[12],"[[""374.0000"",""1.6400""]]"
bond,2,"[3,4]",1,[3],"[[""187.0000"",""1.8600""]]"
bond,2,"[3,5]",1,[4],"[[""187.0000"",""1.8600""]]"
bond,2,"[3,6]",1,[5],"[[""374.0000"",""1.6400""]]"
bond,2,"[3,2]",1,[2],"[[""374.0000"",""1.6400""]]"
angle,3,"[57,54,58]",1,[99],"[[""33.000"",""107.800""]]"
angle,3,"[57,54,59]",1,[83],"[[""33.000"",""107.800""]]"
angle,3,"[58,54,59]",1,[64],"[[""33.000"",""107.800""]]"
angle,3,"[60,55,61]",1,[105],"[[""33.000"",""107.800""]]"
angle,3,"[60,55,62]",1,[88],"[[""33.000"",""107.800""]]"
angle,3,"[61,55,62]",1,[78],"[[""33.000"",""107.800""]]"
angle,3,"[63,56,64]",1,[73],"[[""33.000"",""107.800""]]"
angle,3,"[63,56,65]",1,[98],"[[""33.000"",""107.800""]]"
angle,3,"[64,56,65]",1,[93],"[[""33.000"",""107.800""]]"
angle,3,"[57,54,53]",1,[55],"[[""35.000"",""109.500""]]"
angle,3,"[58,54,53]",1,[56],"[[""35.000"",""109.500""]]"
angle,3,"[59,54,53]",1,[57],"[[""35.000"",""109.500""]]"
angle,3,"[60,55,53]",1,[58],"[[""35.000"",""109.500""]]"
angle,3,"[61,55,53]",1,[59],"[[""35.000"",""109.500""]]"
angle,3,"[62,55,53]",1,[60],"[[""35.000"",""109.500""]]"
angle,3,"[63,56,53]",1,[61],"[[""35.000"",""109.500""]]"
angle,3,"[64,56,53]",1,[62],"[[""35.000"",""109.500""]]"
angle,3,"[65,56,53]",1,[63],"[[""35.000"",""109.500""]]"
angle,3,"[17,14,18]",1,[86],"[[""33.000"",""107.800""]]"
angle,3,"[17,14,19]",1,[111],"[[""33.000"",""107.800""]]"
angle,3,"[18,14,19]",1,[90],"[[""33.000"",""107.800""]]"
angle,3,"[20,15,21]",1,[118],"[[""33.000"",""107.800""]]"
angle,3,"[20,15,22]",1,[92],"[[""33.000"",""107.800""]]"
angle,3,"[21,15,22]",1,[109],"[[""33.000"",""107.800""]]"
angle,3,"[27,24,28]",1,[72],"[[""33.000"",""107.800""]]"
angle,3,"[27,24,29]",1,[70],"[[""33.000"",""107.800""]]"
angle,3,"[28,24,29]",1,[68],"[[""33.000"",""107.800""]]"
angle,3,"[30,25,31]",1,[100],"[[""33.000"",""107.800""]]"
angle,3,"[30,25,32]",1,[75],"[[""33.000"",""107.800""]]"
angle,3,"[31,25,32]",1,[108],"[[""33.000"",""107.800""]]"
angle,3,"[37,34,38]",1,[76],"[[""33.000"",""107.800""]]"
angle,3,"[37,34,39]",1,[113],"[[""33.000"",""107.800""]]"
angle,3,"[38,34,39]",1,[97],"[[""33.000"",""107.800""]]"
angle,3,"[40,35,41]",1,[120],"[[""33.000"",""107.800""]]"
angle,3,"[40,35,42]",1,[91],"[[""33.000"",""107.800""]]"
angle,3,"[41,35,42]",1,[110],"[[""33.000"",""107.800""]]"
angle,3,"[47,44,48]",1,[66],"[[""33.000"",""107.800""]]"
angle,3,"[47,44,49]",1,[104],"[[""33.000"",""107.800""]]"
angle,3,"[48,44,49]",1,[115],"[[""33.000"",""107.800""]]"
angle,3,"[50,45,51]",1,[82],"[[""33.000"",""107.800""]]"
angle,3,"[50,45,52]",1,[81],"[[""33.000"",""107.800""]]"
angle,3,"[51,45,52]",1,[79],"[[""33.000"",""107.800""]]"
angle,3,"[17,14,13]",1,[15],"[[""35.000"",""109.500""]]"
angle,3,"[18,14,13]",1,[16],"[[""35.000"",""109.500""]]"
angle,3,"[19,14,13]",1,[17],"[[""35.000"",""109.500""]]"
angle,3,"[20,15,13]",1,[18],"[[""35.000"",""109.500""]]"
angle,3,"[21,15,13]",1,[19],"[[""35.000"",""109.500""]]"
angle,3,"[22,15,13]",1,[20],"[[""35.000"",""109.500""]]"
angle,3,"[27,24,23]",1,[25],"[[""35.000"",""109.500""]]"
angle,3,"[28,24,23]",1,[26],"[[""35.000"",""109.500""]]"
angle,3,"[29,24,23]",1,[27],"[[""35.000"",""109.500""]]"
angle,3,"[30,25,23]",1,[28],"[[""35.000"",""109.500""]]"
angle,3,"[31,25,23]",1,[29],"[[""35.000"",""109.500""]]"
angle,3,"[32,25,23]",1,[30],"[[""35.000"",""109.500""]]"
angle,3,"[37,34,33]",1,[35],"[[""35.000"",""109.500""]]"
angle,3,"[38,34,33]",1,[36],"[[""35.000"",""109.500""]]"
angle,3,"[39,34,33]",1,[37],"[[""35.000"",""109.500""]]"
angle,3,"[40,35,33]",1,[38],"[[""35.000"",""109.500""]]"
angle,3,"[41,35,33]",1,[39],"[[""35.000"",""109.500""]]"
angle,3,"[42,35,33]",1,[40],"[[""35.000"",""109.500""]]"
angle,3,"[47,44,43]",1,[45],"[[""35.000"",""109.500""]]"
angle,3,"[48,44,43]",1,[46],"[[""35.000"",""109.500""]]"
angle,3,"[49,44,43]",1,[47],"[[""35.000"",""109.500""]]"
angle,3,"[50,45,43]",1,[48],"[[""35.000"",""109.500""]]"
angle,3,"[51,45,43]",1,[49],"[[""35.000"",""109.500""]]"
angle,3,"[52,45,43]",1,[50],"[[""35.000"",""109.500""]]"
angle,3,"[7,4,8]",1,[67],"[[""33.000"",""107.800""]]"
angle,3,"[7,4,9]",1,[101],"[[""33.000"",""107.800""]]"
