module,atom_index,atom_name,opls_type_id,opls_type_name,charge,sigma,epsilon,mass,env_key
segment4,1,C,1,LMP_1,0.0157,3.5,0.066,12.011,"{""z"":6,""formal_charge"":0,""aromatic"":0,""hybridization"":""SP3"",""degree"":4,""total_hs"":2,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""1:S:0"",""1:S:0"",""6:S:0"",""8:S:0""],""bond_kinds"":[""S"",""S"",""S"",""S""],""hop1_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":3,""ring"":0},{""z"":8,""fc"":0,""ar"":0,""deg"":2,""h"":0,""ring"":0}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":3,""h"":0,""ring"":0}]}"
segment4,2,O,2,LMP_2,-0.3821,2.9,0.14,15.999,"{""z"":8,""formal_charge"":0,""aromatic"":0,""hybridization"":""SP2"",""degree"":2,""total_hs"":0,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""6:S:0"",""6:S:0""],""bond_kinds"":[""S"",""S""],""hop1_shell"":[{""z"":6,""fc"":0,""ar"":0,""deg"":3,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":3,""ring"":0},{""z"":8,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0}]}"
segment4,3,C,3,LMP_3,0.4593,3.55,0.07,12.011,"{""z"":6,""formal_charge"":0,""aromatic"":0,""hybridization"":""SP2"",""degree"":3,""total_hs"":0,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""6:S:0"",""8:D:0"",""8:S:0""],""bond_kinds"":[""D"",""S"",""S""],""hop1_shell"":[{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0},{""z"":8,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":8,""fc"":0,""ar"":0,""deg"":2,""h"":0,""ring"":0}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0}]}"
segment4,4,C,4,LMP_4,-0.1919,3.5,0.066,12.011,"{""z"":6,""formal_charge"":0,""aromatic"":0,""hybridization"":""SP3"",""degree"":4,""total_hs"":2,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""1:S:0"",""1:S:0"",""6:S:0"",""6:S:0""],""bond_kinds"":[""S"",""S"",""S"",""S""],""hop1_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":3,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":3,""h"":0,""ring"":0},{""z"":8,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":8,""fc"":0,""ar"":0,""deg"":2,""h"":0,""ring"":0}]}"
segment4,5,C,5,LMP_5,-0.19,3.5,0.066,12.011,"{""z"":6,""formal_charge"":0,""aromatic"":0,""hybridization"":""SP3"",""degree"":4,""total_hs"":2,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""1:S:0"",""1:S:0"",""6:S:0"",""6:S:0""],""bond_kinds"":[""S"",""S"",""S"",""S""],""hop1_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":3,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":3,""h"":0,""ring"":0},{""z"":8,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":8,""fc"":0,""ar"":0,""deg"":2,""h"":0,""ring"":0}]}"
segment4,6,C,6,LMP_6,0.4577,3.55,0.07,12.011,"{""z"":6,""formal_charge"":0,""aromatic"":0,""hybridization"":""SP2"",""degree"":3,""total_hs"":0,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""6:S:0"",""8:D:0"",""8:S:0""],""bond_kinds"":[""D"",""S"",""S""],""hop1_shell"":[{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0},{""z"":8,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":8,""fc"":0,""ar"":0,""deg"":2,""h"":0,""ring"":0}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0}]}"
segment4,7,O,7,LMP_7,-0.3768,2.9,0.14,15.999,"{""z"":8,""formal_charge"":0,""aromatic"":0,""hybridization"":""SP2"",""degree"":2,""total_hs"":0,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""6:S:0"",""6:S:0""],""bond_kinds"":[""S"",""S""],""hop1_shell"":[{""z"":6,""fc"":0,""ar"":0,""deg"":3,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0},{""z"":8,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0}]}"
segment4,8,C,8,LMP_8,0.0144,3.5,0.066,12.011,"{""z"":6,""formal_charge"":0,""aromatic"":0,""hybridization"":""SP3"",""degree"":4,""total_hs"":2,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""1:S:0"",""1:S:0"",""6:S:0"",""8:S:0""],""bond_kinds"":[""S"",""S"",""S"",""S""],""hop1_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0},{""z"":8,""fc"":0,""ar"":0,""deg"":2,""h"":0,""ring"":0}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":3,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0}]}"
segment4,9,C,9,LMP_9,-0.191,3.5,0.066,12.011,"{""z"":6,""formal_charge"":0,""aromatic"":0,""hybridization"":""SP3"",""degree"":4,""total_hs"":2,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""1:S:0"",""1:S:0"",""6:S:0"",""6:S:0""],""bond_kinds"":[""S"",""S"",""S"",""S""],""hop1_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":0,""ring"":1},{""z"":8,""fc"":0,""ar"":0,""deg"":2,""h"":0,""ring"":0}]}"
segment4,10,C,10,LMP_10,-0.0822,3.5,0.066,12.011,"{""z"":6,""formal_charge"":0,""aromatic"":0,""hybridization"":""SP3"",""degree"":4,""total_hs"":2,""in_ring"":0,""ring_count"":0,""neighbor_sig"":[""1:S:0"",""1:S:0"",""6:S:0"",""6:S:1""],""bond_kinds"":[""S"",""S"",""S"",""S""],""hop1_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":0,""ring"":1}],""hop2_shell"":[{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":1,""fc"":0,""ar"":0,""deg"":1,""h"":0,""ring"":0},{""z"":6,""fc"":0,""ar"":0,""deg"":4,""h"":2,""ring"":0},{""z"":6,""fc"":0,""ar"":1,""deg"":3,""h"":1,""ring"":1},{""z"":7,""fc"":0,""ar"":1,""deg"":2,""h"":0,""ring"":1}]}"
